HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
2917392000,트리옥틸트리메리테이트(T.O.T.M),Trioctyltrimellitate (T.O.T.M),25030201,유기화합물
2917393000,무수트리멜리트산,Trimellitic anhydride,25030201,유기화합물
2917399000,기타,Other,25030201,유기화합물
2918111000,락트산,Lactic acid,25030201,유기화합물
2918112000,락트산의 염,Salts of lactic acid,25030201,유기화합물
2918113000,락트산의 에스테르,Esters of lactic acid,25030201,유기화합물
2918120000,타르타르산,Tartaric acid,25030201,유기화합물
2918131000,타르타르산의 염,Salts of tartaric acid,25030201,유기화합물
2918132000,타르타르산의 에스테르,Esters of tartaric acid,25030201,유기화합물
2918140000,시트르산,Citric acid,25030201,유기화합물
2918151000,시트르산의 염,Salts of citric acid,25030201,유기화합물
2918152000,시트르산의 에스테르,Esters of citric acid,25030201,유기화합물
2918161000,글루콘산,Gluconic acid,25030201,유기화합물
2918162000,글루콘산의 염,Salts of gluconic acid,25030201,유기화합물
2918163000,글루콘산의 에스테르,Esters of gluconic acid,25030201,유기화합물
2918170000,"2,2-디페닐-2-하이드록시아세트산(벤질산)","2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",25030201,유기화합물
2918180000,클로로벤질레이트(ISO),Chlorobenzilate (ISO),25030201,유기화합물
0029181910,그 밖의 알코올관능의 카르복시산,Other carboxylic acids with alcohol function,,
2918191010,말산,Malic acid,25030201,유기화합물
2918191090,기타,Other,25030201,유기화합물
2918192000,그 밖의 알코올관능의 카르복시산의 염,Other salts of carboxylic acids with alcohol function,25030201,유기화합물
2918193000,그 밖의 알코올관능의 카르복시산의 에스테르,Other esters of carboxylic acids with alcohol function,25030201,유기화합물
2918199000,기타,Other,25030201,유기화합물
2918210000,살리실산과 그 염,Salicylic acid and its salts,25030201,유기화합물
2918220000,"오르토-아세틸살리실산, 그 염과 에스테르","O-Acetylsalicylic acid, its salts and esters",25030201,유기화합물
2918231000,그 밖의 살리실산의 에스테르,Other esters of salicylic acid,25030201,유기화합물
2918232000,그 밖의 살리실산에스테르의 염,Salts of other esters of salicylic acid,25030201,유기화합물
2918291000,베타옥시나프토산과 그 염,β-oxynaphthoic acid and its salts,25030201,유기화합물
0029182990,기타,Other,,
2918299010,갈산,Gallic acid,25030201,유기화합물
2918299030,파라히드록시 벤조산,Parahydroxybenzoic acid,25030201,유기화합물
2918299090,기타,Other,25030201,유기화합물
2918301000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2918309000,기타,Other,25030201,유기화합물
2918910000,"2,4,5-티(ISO)(2,4,5-트리클로로페녹시아세트산), 그 염과 에스테르","2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",25030201,유기화합물
2918991000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2918999000,기타,Other,25030201,유기화합물
2919100000,"트리스(2,3-디브로모프로필) 포스페이트","Tris(2,3-dibromopropyl) phosphate",25030201,유기화합물
0029199010,인산에스테르,Phosphoric esters,,
2919901010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2919901090,기타,Other,25030201,유기화합물
2919902000,인산에스테르의 염,Salts of phosphoric esters,25030201,유기화합물
2919909000,기타,Other,25030201,유기화합물
2920111000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2920119000,기타,Other,25030201,유기화합물
2920191000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2920199000,기타,Other,25030201,유기화합물
2920210000,디메틸 포스파이트,Dimethyl phosphite,25030201,유기화합물
2920220000,디에틸 포스파이트,Diethyl phosphite,25030201,유기화합물
2920230000,트리메틸 포스파이트,Trimethyl phosphite,25030201,유기화합물
2920240000,트리에틸 포스파이트,Triethyl phosphite,25030201,유기화합물
2920290000,기타,Other,25030201,유기화합물
2920301000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2920309000,기타,Other,25030201,유기화합물
2920904000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
0002920909,기타,Other,,
0029209091,황산에스테르의 것,Of sulphuric esters,,
2920909110,황산디메틸,Dimethyl sulfate,25030201,유기화합물
2920909190,기타,Other,25030201,유기화합물
2920909200,탄산에스테르의 것,Of carbonic esters,25030201,유기화합물
2920909900,기타,Other,25030201,유기화합물
0029211110,메틸아민과 그 염,Methylamine and its salts,,
2921111010,메틸아민,Methylamine,25030201,유기화합물
2921111020,메틸아민의 염,Salts of methylamine,25030201,유기화합물
0029211120,디메틸아민과 그 염,Dimethylamine and its salts,,
2921112010,디메틸아민,Dimethylamine,25030201,유기화합물
2921112020,디메틸아민의 염,Salts of dimethylamine,25030201,유기화합물
0029211130,트리메틸아민과 그 염,Trimethylamine and its salts,,
2921113010,트리메틸아민,Trimethylamine,25030201,유기화합물
2921113020,트리메틸아민의 염,Salts of trimethylamine,25030201,유기화합물
2921120000,"2-(엔,엔-디메틸아미노)에틸클로라이드 염산염","2-(N,N-Dimethylamino)ethylchloride hydrochloride",25030201,유기화합물
2921130000,"2-(엔,엔-디에틸아미노)에틸클로라이드 염산염","2-(N,N-Diethylamino)ethylchloride hydrochloride",25030201,유기화합물
2921140000,"2-(엔,엔-디이소프로필아미노)에틸클로라이드 염산염","2-(N,N-Diisopropylamino)ethylchloride hydrochloride",25030201,유기화합물
2921192000,디에틸아민과 그 염,Diethylamine and its salts,25030201,유기화합물
0029211990,기타,Other,,
2921199010,디메틸라우릴아민,Dimethyl laurylamine,25030201,유기화합물
2921199090,기타,Other,25030201,유기화합물
2921211000,에틸렌디아민,Ethylenediamine,25030201,유기화합물
2921212000,에틸렌디아민의 염,Salts of ethylenediamine,25030201,유기화합물
2921221000,헥사메틸렌디아민,Hexamethylenediamine,25030201,유기화합물
2921222000,헥사메틸렌디아민아디페이트,Hexamethylenediamine adipate,25030201,유기화합물
2921229000,기타,Other,25030201,유기화합물
2921291000,디에틸렌 트리아민,Diethylenetriamine,25030201,유기화합물
2921292000,트리에틸렌 테트라아민,Triethylene tetramine,25030201,유기화합물
2921299000,기타,Other,25030201,유기화합물
2921301000,시클로 헥실아민,Cyclohexylamine,25030201,유기화합물
2921309000,기타,Other,25030201,유기화합물
2921411000,아닐린,Aniline,25030201,유기화합물
2921412000,아닐린의 염,Salts of aniline,25030201,유기화합물
